name,address,address_secondary,intersection,city,state,country,zip,description,food,music,dress_code,entry_fee,style,crowd,specialty,specials,price_range,parking,hours,contact_phone,date,venue_type_ids,neighbourhood_id,keyword_ids,logo,photos
Cabin Five,225 Richmond St. W,,Richmond & Duncan ,Toronto,Ontario,Canada,,"Directly accessible down the alleyway from The Fifth’s main entrance, Cabin Five is Toronto’s greatest party bar. If you’re tired of the same old club scene with its overpriced drinks and doormen with attitude, then Cabin Five is the place for you. It’s a no-nonsense party bar that puts a premium on fun rather than worrying about velvet ropes.",,"Top 40, Mixed","No running shoes, Hats, Dress to impress", $10-20,Casual fun,"University/College, early 20’s",,,,Street parking on Queen w. for $3.00 per hour or Private parking lots,Fri - Sat: 10:00pm - 3:00am,416-979-3000,,club,,"Top 40, Mixed, Multi Room, Casual, Mixed Crowd, 19-25, VIP & Bottle Service",cabin_five/cabin_five_logo.png,"cabin_five/cabin_five1.jpg, cabin_five/cabin_five2.jpg, cabin_five/cabin_five3.jpg"
Product,364 Richmond St. W,,Richmond & Peter,Toronto,Ontario,Canada,,"Product is a busy, energetic dance club nestled in an alley just south of Queen Street. Covered in art-inspired décor, this British & New York Pop Art club has works from Andy Warhol and other amazing artists. It’s ultra chic with a studio 54 vibe. It also has an amazing women’s washroom and spa where you can get your hair done for free! Approximate age range: 19-28",,"Top 40 House, Trap, Hip Hop",Casually upscale,$20-25,Energetic Club,19-25,,,,Street parking on Queen w. for $3.00 per hour or Private parking lots,Fri - Sat: 10:00pm – 3:00am,416.351.1100,,club,queen_w,"Get Dressed Up, Recently Single/Ready to Mingle, Top 40, Electronic Dance Music, High Energy",ink/product/product_logo.jpg,"ink/product/product_1.jpg, ink/product/product_2.jpg, ink/product/product_3.jpg"
Cube,314 Queen St. W,,Queen & Soho,Toronto,Ontario,Canada,,"Located on the legendary Queen West, Cube is an innovative and sexy club and lounge. It has two great floors. The main level offers an energetic nightclub experience while the upper level is a chic rooftop lounge with a view of the city. This is a great place to attend if you’re in the mood to dress up and feel sexy! Approx age: 23-35",,"Commercial, Top 40 House",Casually upscale,$10-20,"Upscale, trendy",23-35,,,,Parking lot just east of the venue or free parking on Queen W after 9PM,Fri - Sat: 10:00pm - 3:00am + special events,416.263.0330,,club,queen_w,"Get Dressed Up, Top 40, Hip Hop/Reggae, Electronic Dance Music, Rooftop Patio, Multi Room",ink/cube/cube_logo.png,"ink/cube/cube01.jpg, ink/cube/cube02.png, ink/cube/cube03.jpg, "
Kool haus,132 Queens Quay E,,Queens Quay & Jarvis,Toronto,Ontario,Canada,,"A venue that has seen the likes of some the world’s greatest musicians, Kool Haus has a reputation of being one of the best spots for a concert in the city. It has a capacity of over 2 000 and is attached to the legendary Guvernment Nightclub. Kool Haus will offer you great music, a wicked atmosphere and an unforgettable night.  ",,Concert Venue,Anything Goes,Yes (depends on ticket sales),Undergound,19+,,,,Parking lot outside of the club,Fri - Sat: 10:00pm – 7:00am + special events,416.869.0045,,club,,"Let Loose, Mixed, High Energy, 25-40, Casual",ink/kool_haus/koolhauslogo.jpg,"ink/kool_haus/kool_haus_1.jpg, ink/kool_haus/kool_haus_2.jpg, ink/kool_haus/kool_haus_3.jpg, "
Tattoo Rock Parlour,567 Queen St W,,Queen & Portland,Toronto,Ontario,Canada,,"Think of entering into Dracula’s castle for a night full of edgy rock music, tattoos, drinks and great people. Hold an intimate private party downstairs by the gothic fireplace, while the party blazes upstairs. Tattoo is casual, unpretentious and always a good time!",,"Rock, Classics, Top 40",Casual,$10-20,Casual Rocker Scene,Mixed crowd,,,,Street parking on Queen or a parking lot at 15 Denison Avenue,Thu – Sat: 10:00pm – 3:00am,416.703.5488,,club,queen_w,"Let Loose, Casual, Rock/Alternative, Multi Room, College, Mixed Crowd, VIP & Bottle Service",ink/tattoo/tattoologo.jpg,"ink/tattoo/tattoo1.jpg,ink/tattoo/tattoo2.jpg, ink/tattoo/tattoo3.jpg"
The Guvernment,132 Queens Quay E ,,Queens Quay & Jarvis,Toronto,Ontario,Canada,,"Fantastic lights, great sound systems and an energetic crowd, Guvernement is a guaranteed thrill ride. In fact, it’s been voted one of the greatest nightclubs in the world. It has over 8 rooms with different sounds, so just walking through the club is an experience in itself. If you’re looking for international DJs, wicked décor and people that love to party, Guvernement is your place to be! Don’t forget to arrive early to avoid a long wait in line.  ",,"Electronic Dance Music, Concert Venue",Anything Goes,Entry fee varies,Raver’s Scene,19+,,,,Parking lot outside of the club,"Fri: 10:30pm - 3:30am, Sat: 10:00pm - 7:00am + special events & concerts",416.869.0045,,club,,"Let Loose, Dance Party, Multi Room, High Energy, Electronic Dance Music, Electronic/House, VIP & Bottle Service",ink/guvernment/guvernment_logo.jpg,"ink/guvernment/guvernment_1.jpg, ink/guvernment/guvernment_2.jpg, ink/guvernment/guvernment_3.jpg"
UNIUN,473 Adelaide St W,,Adelaide & Portland,Toronto,Ontario,Canada,,"Tons of energy, amazing music and top-notch light shows, UNIUN has a dynamic party scene. It offers amazing international DJS spinning club bangers, EDM and house music. It’s also a celebrity hot spot with a private VIP area. In addition to all of that, there are plenty of other booths and even a pool table downstairs for those of you who don’t like dancing.",,"Club Bangers, Electronic Dance Music, House","Casually Upscale (no baggy jeans, athletic shoes, timberlands and sportswear)",$25,Energetic Party Scene,21+,,,,Parking lot at the corner of Adelaide and Portland or street parking on King,Fridays – Sundays 10:00pm – 3:00am,416.603.9300,,club,,"Let Loose, Dance Party, Electronic Dance Music, High Energy, 21+/23+, VIP & Bottle Service, Multi Room",ink/uniun/uniun_logo.jpg,"ink/uniun/uniun_1.jpg, ink/uniun/uniun_2.jpg, ink/uniun/uniun_3.jpg"
Skybar,132 Queens Quay E,,Queens Quay & Jarvis,Toronto,Ontario,Canada,,"Classy and trendy with all white & blue decor, SkyBar is a rooftop patio club with a great view of Toronto. It’s a great spot to socialize, dance and enjoy the warm summer breeze coming from the lake nearby.",,Music: Top 40,Casually Upscale,$10-20,Moroccan Trendy,Mixed Crowd,,,,Parking lot outside of the club,Summer Hours,416.869.0045,,club,,"Rooftop Patio, Multi Room, Top 40, Mixed, Get Dressed Up, Recently Single/Ready to Mingle, VIP & Bottle Service, Sophisticated",ink/skybar/skybar_logo.jpg,"ink/skybar/skybar_1.jpg, ink/skybar/skybar_2.jpg, ink/skybar/skybar_3.jpg"
Surface,132 Queens Quay E ,,Queens Quay & Jarvis,Toronto,Ontario,Canada,,"Enter into a world where uptown couture meets urban chic. No need to go beyond… just cruise inside Surface. An opulent playground that epitomizes luxury and indulgence, Surface is an escape to a sexy hideaway on the infamous Guvernment Nightclub’s second floor.",,"EDM, House",Casually Upscale,$10-20,Luxurious Club Scene,Mixed Crowd,,,,Parking lot outside of the club,Fridays – Sundays 10:00pm – 3:00am,416-869-0045,,club,,"Recently Single/Ready to Mingle, Get Dressed Up, Mixed, Mixed Crowd ",ink/surface/surfacelogo_black.jpg,"ink/surface/surface_1.jpg, ink/surface/surface_2.jpg, ink/surface/surface_3.jpg"
Switch,55 Colborne St.,,Church & Colborne,Toronto,Ontario,Canada,,"Catering to the young urban professional from Thursday to Sunday, Switch is a space with vintage carnival design elements and endless curiosities.",,"Hip Hop, Rap, Club Bangers",Dress to Impress,$10-20,Vintage designs in a modern space,Average age: 23-30,,,,Parking lot across from the club or street parking on King W,Thu - Fri: 5:00 pm - 3:00 am | Sat: 7:00 pm - 3:00 am,647.824.4993,,club,,"Let Loose, Dance Party, Recently Single/Ready to Mingle, Hip Hop/Reggae, VIP & Bottle Service, Open Weekdays",swtich/switch_logo_black.png,"swtich/switch1.jpg, swtich/switch2.jpg, swtich/switch3.jpg"
COVE ThirtyOne,31 Mercer St,,Mercer & Peter,Toronto,Ontario,Canada,,"This venue draws inspiration from the shores of Ibiza, Spain and the ancient lore of Mykonos. A self-proclaimed boutique nightspot with a rooftop patio, Cove Thirtyone brings the Mediterranean to Toronto by using decor reminiscent of an undersea escape.",,"Top 40, Club Bangers","Dress to Impress (no baggy jeans, athletic shoes, timberlands and sportswear)",$10-20,Medditerranean Sea theme,Average age: 19-25,,,,Parking lot just outside of the club,"Fridays, Saturdays: 10:00pm - 3:00am",416.979.0131,,club ,,"Get Dressed Up, Rooftop Patio, Mixed, Top 40, VIP & Bottle Service",cove_thirtyone/covethirtyone_logo.jpg,"cove_thirtyone/cove_thirtyone_1.jpg, cove_thirtyone/cove_thirtyone_2.jpg, cove_thirtyone/cove_thirtyone_3.jpg"
Bar 244,  244 ADELAIDE STREET WEST    ,,Duncan & Adelaide,Toronto,Ontario,Canada,,"Bar 244 is a place for cheap drinks, energetic music and in turn, an awesome night! The venue has 2 rooms with an open concept where the DJ controls the crowd. Drink Specials: $3 Drinks, $3 Beers and $4 Imports",,"Top 40, Club Bangers",Casual Dress Code (Jeans and sneakers allowed. No urban sportswear permitted.),$10-20,College Party,"College Crowd, 19-25",,,,Street Parking in this area is $4.00 per hour. Parking lots just south and just north of Adelaide. Usually $20 parking fee.,"Fridays, Saturdays: 10:00pm - 3:00am",416.599.2442,,club ,,"Top 40, Rock/Alternative, Drink Specials, College, 19-25",bar_244/bar_244_logo.jpg,"bar_244/bar244_1.jpg, bar_244/bar244_2.jpg, bar_244/bar244_3.jpg"
Archive Wine Bar,909 Dundas Street West,,Dundas & Ossington,Toronto,Ontario,Canada,,Archive is a casual wine bar specializing in Ontario wines. Perfect for a date night or catching up with some friends. Classic jazz sets a relaxed tone. Archive also serves a mediterranean tapas menu until 2am.,Mediterranean tapas,classic jazz,,,"Cozy, romantic",,"Variety of wines, opened by the glass",None,$$$,Street Parking on Dundas,Daily: 5:00pm – 2:00am, 647 748 0909,,bar,dundas_w,"Discover a Hidden Gem, Impress a Date, Small Plates/Apps, Unique Wine List, Cozy",archive_wine_bar/archive_wine_bar_logo.png,"archive_wine_bar/archive_wine_bar1.jpeg, archive_wine_bar/archive_wine_bar2.jpg, archive_wine_bar/archive_wine_bar3.jpeg"
Bambi's,1265 Dundas W,,Dundas & Dovercourt,toronto,ontario,Canada,,"An intimate and cozy basement dive bar with good music and lots of regulars. It’s a simple bar with a cool vibe, where you’re invited to be yourself. They play underground sounds like punk, rock, techno and electronic. Bambis has two beers on tap (Mill St Organic and Mill St Tankhouse), some great cocktails and lots of Jameson. They also have a small snack menu that consists of items like beef patties and empanadas. ",Small snacks ,punk/rock/electronic,,,Small dive bar,,Dark & Stormy Cocktail,None,$$,Street Parking on Dundas or Dovercourt,Daily: 7:00pm - 2:00am,647.351.1100,,bar,dundas_w,"Get Drunk, Dress Down, Craft Beer, Dive Bar, Hipster, Rock/Indie",bambis/bambis_logo.png,"bambis/bambis1.jpg, bambis/bambis2.jpg, bambis/bambis3.jpg"
Churchill,1212 Dundas W,,Dundas & Ossington,toronto,ontario,Canada,,Churchill is a unique cocktail lounge on Dundas W. The full length windows that encase the front of Churchill introduce you to the soft wood bar and chalkboard painted walls. The reasonably priced original cocktails are worth trying and the Tom Waits quotes written on the chalkboard walls are worth reading. ,no food,jazz/indie/rock,,,"Comfortable, chill",,Original cocktails that you can’t get anywhere else,None,$$$,Street parking on Dundas,Mon - Sun: 6:00 pm - 2:00 am,416.588.4900,,bar,dundas_w,"Try Creative Cocktails, Unique Cocktails, Cozy, Casual, Hipster, 25-40",churchill/churchill_logo.jpg,"churchill/churchill_1.jpg, churchill/churchill_2.jpg, churchill/churchill_3.jpg"
Cocktail Parlour ,11 Duncan St,,King & Duncan,Toronto,Ontario,Canada,,"One of the oldest buildings in Toronto at over 170 years old, Story’s is an ageless and rustic treasure that is sure to impress you. Inside you’ll find The Cocktail Parlour, an exquisite bar with over 66 uniquely blended cocktails and delicious appetizers. The Cocktail Parlour is a great place to feel upscale and trendy! ",Appetizers & hors d'oeuvres,,,,"Fashionable, trendy, upscale",,Distinctive Cocktails,None,$$$,Street parking on King Street (paid until midnight),Wed-Fri: 5:00pm – late | Sat: 7:00pm – late,416.367.5151,,bar,king_w,"Try Creative Cocktails, Dress Up, Meet New People, Impress a Date, Electronic/House, Chill/Deep House, Unique Cocktails",ink/the_cocktail_parlour/storys_logo.jpg,"ink/the_cocktail_parlour/cocktail_parlour_1.jpg, ink/the_cocktail_parlour/cocktail_parlour_2.jpg, ink/the_cocktail_parlour/cocktail_parlour_3.jpg"
DEQ The Ritz Carlton,181 Wellington St W,,Wellington & John St,Toronto,Ontario,Canada,,"A cocktail bar with a beautiful patio. DEQ is an exotic escape away from the city (with a view of the CN tower). Enjoy seasonal cocktails, mediterranean food and a great vibe.",Mediterranean,,,,"Chic, Upscale",,Unique cocktails. Outdoor bar and lounge.,Afternoon tea from 2pm - 4pm (Saturday and Sunday),$$$,"Valet Parking. For a cheaper option, try street parking on King Street or Front Street",Daily: 11:00 a.m. – 1 a.m.,416.585.2500,,bar,financial_district,"Impress a Date, Meet New People, Dress Up, Unique Cocktails, Upscale, 25-40",deq_ritzcarlton/deq_ritzcarlton_logo.png,"deq_ritzcarlton/deq_ritzcarlton1.png, deq_ritzcarlton/deq_ritzcarlton2.png, deq_ritzcarlton/deq_ritzcarlton3.png"
Get Well,1181 Dundas St W,,Dundas & Ossington,Toronto,Ontario,Canada,,"Going to Get Well is like going to a craft beer convention at a vintage garage sale, except you can’t buy the classic arcade games like Ms. Pac man, Tetris, and Frogger that Get Well offers... you just play them for free. The awesomely absurd collection of knickknacks, pictures, light fixtures and furniture creates a kind of comfortable that’s impossible to replicate. Plus, there’s Dolly Parton pinball.",None,,,,Vintage Garage Sale,,Classic arcade games and craft beers,None,$$,Street parking on Dundas or a parking lot just east of Ossington on Dundas,Daily 5:00pm - 2:00am,647.351.2337,,bar,dundas_w,"Out with Friends, Dress Down, Rock/Indie, Craft Beer, Beers on Tap, Hipster",get_well/get_well_logo.jpg,"get_well/get_well_1.jpg, get_well/get_well_2.jpg, get_well/get_well_3.jpg"
La Porte,214 Ossington Ave,,Dundas & Ossington,Toronto,Ontario,Canada,,"La Porte is an intimate neighbourhood restaurant and bar hybrid. Open during the day as a restaurant and a trendy bar at evenings and nights. On the weekend, La Porte is a great spot for a smaller more intimate dance party, with DJs spinning hip hop, house and top 40. Plus, they have $4 Jaggerbombs every night of the week!","International, eclectic",,,,Cozy & modern,,Top local microbrews,$4 Jaggerbombs. Thursday: $18 pitchers and $5 beers.,$$,Street parking on Ossington (before midnight) or on Dundas Street. Also a Green P parking off of Dundas St east of Ossington. ,Sun - Wed: 12:00pm -11:00pm | Thu - Sat: 12:00pm - 2:00am,647.618.7973,,bar,ossington,"Dance Party, Mixed, Top 40, Craft Beer, Cozy, Mixed Crowd, Hipster, Drink Specials",la_porte/la_porte_logo.png,"la_porte/la_porte_1.png, la_porte/la_porte_2.png, la_porte/la_porte_3.jpg,"
Poetry Jazz Cafe,224 Augusta Ave,,Augusta ave,Toronto,Ontario,Canada,,"When you walk in the front door, you feel like you’re walking in the back door of an underground Jazz club in Brooklyn. Poetry Jazz Café is first and foremost about the music, hosting live Jazz bands ranging from experimental to old school and DJ’s who actually spin vinyl. This venue provides an unpretentious safe-haven for musicians and music lovers alike in comfortable retro yet cozy environment.",None,,,,underground New York Jazz club,,Live smooth jazz music ,Various drink specials Wednesday-Sunday,$$,Street parking on Augusta,"Sun: 2:30 – 7:30 pm | Mon, Tues: Closed | Wed - Fri: 4:30pm - 2:00am | Sat 2:30 pm – 2:00 am (hours sometimes vary)",416.599.5299,,bar,,"Discover a Hidden Gem, Jazz, Unique Cocktails, Martinis/Margaritas, 25-40, 40+, Patio",poetry_jazz_cafe/poetry_jazz_cafe_logo.png,"poetry_jazz_cafe/poetry_jazz_cafe_1.jpg, poetry_jazz_cafe/poetry_jazz_cafe_2.jpg, poetry_jazz_cafe/poetry_jazz_cafe_3.jpg"
Red Light,1185 Dundas St W,,Dundas & Ossington,Toronto,Ontario,Canada,,"Enter the rustic darkness that is The Red Light. Drink the bourbon, feel the music. Putting the classy in classically grimy, this venue offers a huge variety of bourbons and whiskeys in an unpretentious environment. Playing primarily rap, hip-hop, and rock, The Red Light attracts a younger crowd and fills up fast on weekends.",None,,,,Dive Bar,,60 types of bourbon,None,$,Street Parking on Dundas or a Green P parking lot east of Ossington on Dundas,Mon - Sun: 6:00 pm - 2:00 am,416.533.6667,,bar,dundas_w,"Dress Down, Hip Hop/Reggae, Rock/Indie, Specialty Bourbon/Whiskey, Hipster, Dive Bar",red_light/red_light_logo.png,red_light/red_light.jpg
Ritz Carlton Bar,181 Wellington St W,,Wellington & John St,Toronto,Ontario,Canada,,"Sexy. Classy. Trendy. The Ritz Carlton bar is a calming and relaxing place, located in the lobby of a world-renowned hotel. Wind down with a sommelier selection of sparkling and still wines. Enjoy Japanese tapas and sushi. Listen to some fine smooth jazz.",Small plates,,,,Classy. Trendy.,,Wine List,None,$$$,"Valet Parking. For a cheaper option, try street parking on King Street or Front Street",Mon - Sat: 5:00pm – 12:00am | Sun: Closed,(416) 585-2500,,bar,financial_district,"Dress Up, Chill/Deep House, Unique Wine List, Small Plates/Apps, Upscale, 25-40",ritz_carlton_bar/ritz_carlton_bar_logo.jpg,"ritz_carlton_bar/ritz_carlton_bar_1.png, ritz_carlton_bar/ritz_carlton_bar_2.png"
Snakes & Lagers,488 College St,,College  & Markham,Toronto,Ontario,Canada,,"Snakes & Lagers Board Game Bar is a gastro-games-pub located in downtown Toronto. They curate an extensive draft selection, which including 19 draft taps, they serve a snacks menu with gluten-free and vegan options, and best of all they provide access to a curated library of games designed to compliment your evening of laughter and mischief.",Gluten Free and Vegan Friendly Snack Menu,,,,Casual Gathering Spot,,Library of board games,The under $5 food menu,$$,Street parking on College,Mon - Sat: 3:00pm - 2:00am | Sun: 3:00pm - 12:00am,contact@snakesandlagers.com,,bar,college_st,"Discover a Hidden Gem, Out with Friends, Dress Down, Beers on Tap, Small Plates/Apps, Board Games",snakes_lagers/snakes_lagers_logo.jpg,"snakes_lagers/snakes_lagers1.jpg, snakes_lagers/snakes_lagers2.jpg, snakes_lagers/snakes_lagers3.jpg"
SPiN,461 King St W,,King & Spadina,Toronto,Ontario,Canada,,"SPiN Toronto is the city's premier ping-pong social club. It has 12 pong tables, a double sided bar and a kitchen open late. In addition to a variety of beers, unique cocktails and wine, they serve 32oz punch bowls for you and your friends to share. The venue also hosts its own league every Sunday for all skill levels, weekly glow in the dark Ping-Pong on Tuesday nights, and monthly tournaments for both amateurs and pro's.","Casual bar food, snacks",,,,Casual and fun,,Ping Pong,Changing seasonally,$$,Street Parking on King Street or Wellington Street,Sun - Wed: 12:00pm - 1:00am | Thur -Sun 12:00pm - 2:00am,416.599.7746,,bar,king_w,"Discover a Hidden Gem, Impress a Date, Beers on Tap, Try Creative Cocktails, Electronic/House, Casual, Ping Pong",spin/spinlogo.jpg,"spin/spin1.jpg, spin/spin2.png, spin/spin3.jpg"
