id,name,venue_type_ids,category_id
Unique Cocktails,Unique Cocktails,"resto, bar",drinks
Martinis/Margaritas,"Martinis, Margaritas","resto, bar",drinks
Caffeinated Beverages,Caffeinated Beverages,resto,drinks
Coffee/Tea,Coffee,workspace,food_and_drink
Lattes & Machiattos,Lattes & Machiattos,workspace,food_and_drink
Sandwiches,Sandwiches,workspace,food_and_drink
Salads,Salads,workspace,food_and_drink
Sweets,Sweets,workspace,food_and_drink
UofT,UofT,workspace,neighbourhood
Ryerson,Ryerson,workspace,neighbourhood
Downtown,Downtown,workspace,neighbourhood
Uptown,Uptown,workspace,neighbourhood
East End,East End,workspace,neighbourhood
West End,West End,workspace,neighbourhood
Energetic,Energetic,resto,atmosphere
Romantic,Romantic,resto,atmosphere
Modern,Modern,resto,atmosphere
Upscale,Upscale,"resto, bar, club, special_event",atmosphere
Fine Dining,Fine Dining,resto,atmosphere
Casual,Casual,"resto, bar, club, special_event",atmosphere
Cozy,Cozy,"resto, bar",atmosphere
Trendy,Trendy,"resto, bar",atmosphere
Artistic,Artistic,"resto, special_event",atmosphere
Dive Bar,Dive Bar,bar,atmosphere
Multi Room,Multi Room,club,atmosphere
Rooftop Patio,Rooftop Patio,"club, bar",atmosphere
High Energy,High Energy,club,atmosphere
Dressy,Dressy,special_event,atmosphere
Mixed Crowd,Mixed Crowd,"bar, club, special_event",crowd
College,College,"bar, club",crowd
Sophisticated,Sophisticated,"bar, club",crowd
Hipster,Hipster,bar,crowd
After Work,After Work,bar,crowd
19-25,19-25,"bar, club",crowd
25-40,25-40,"bar, club",crowd
40+,40+,bar,crowd
21+/23+,"21+, 23+",club,crowd
Young Professionals,Young Professionals,special_event,crowd
Artists,Artists,special_event,crowd
Mature,Mature,special_event,crowd
Patio,Patio,"resto, bar",extras
Live Music,Live Music,resto,extras
Corporate/Private Bookings,Corporate/Private Bookings,resto,extras
Reserve a Table,Reserve a Table,resto,extras
Couches/Lounging,"Couches, Lounging","resto, bar",extras
Ping Pong,Ping Pong,bar,extras
Pool Table,Pool Table,bar,extras
Board Games,Board Games,bar,extras
Burlesque,Burlesque,club,extras
VIP & Bottle Service,VIP & Bottle Service,"club, special_event, live_music",extras
Ladies Free,Ladies Free,club,extras
Free Before 11,Free Before 11,club,extras
Free Before 12,Free Before 12,club,extras
Open Weekdays,Open Weekdays,club,extras
Drink Specials,Drink Specials,"club, bar",extras
Quiet Spot,Quiet Spot,workspace,extras
Free Wifi,Free Wifi,workspace,extras
Lots of Outlets,Lots of Outlets,workspace,extras
Big Tables,Big Tables,workspace,extras
Free Entry,Free Entry,"special_event, live_music",extras
Advanced Tickets,Advanced Tickets,"special_event, live_music",extras
Food Menu,Food Menu,special_event,extras
Live DJ,Live DJ,special_event,extras
Live Performance,Live Performance,special_event,extras
